"Store ID","Store Name","Address","Location Type","Store Size","Parking","Expenditure Band","Population Total","Male Population","Female Population","POI Category Counts"
"83ee89ff-226b-4d5a-8f39-d47cfb5e856e","Alfamidi Cempaka Putih 2","Jl. Cempaka Putih Raya No.20-36 7, RT.7/RW.8, Cemp. Putih Tim., Kec. Cemp. Putih, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10510, Indonesia","Commercial Area","Large","Yes","high","60207.794006347656","30385.547556877136","29822.247698783875","Amusement and Recreation:2 | Auto and Gasoline Service Stations:2 | Automotive Dealers:1 | Civic and Social Organizations:1 | Eating Places:34 | Education:7 | Entertainment:2 | Fashion and Apparel:4 | Grocery Stores:8 | Healthcare:2 | Hotels:2 | Industrial and Commercial Zones:1 | Retail:7 | Salon/Spa:1 | Services:4 | Sports and Fitness Centers:2 | Transportation:4"
"90addfc1-fb92-41db-b826-e96ef67e5c02","Alfamart","Jalan Scientia Square Selatan Blok Dlnu No 001 Dan Blok Dlnu 002, West Pakulonan, Kelapa Dua, Tangerang Regency, Banten 15810, Indonesia","Mall","Large","Yes","high","8318.193567037582","4249.628025174141","4068.565700352192","Amusement and Recreation:7 | Automotive Dealers:1 | Civic and Social Organizations:1 | Eating Places:18 | Education:9 | Entertainment:1 | Fashion and Apparel:2 | Grocery Stores:1 | Healthcare:2 | Hotels:1 | Industrial and Commercial Zones:3 | Retail:11 | Salon/Spa:1 | Services:12 | Sports and Fitness Centers:1 | Transportation:1"
"5ac0eb0e-5ffe-41f7-9393-48f8190e12af","Alfamidi Agricola","Jl. Raya Curug Sangereng Blok DB12 No.5 Blok DB12, Curug Sangereng, Kecamatan Kelapa Dua, Kabupaten Tangerang, Banten 15810, Indonesia","Residential Area","Large","Yes","high","3745.540863037109","1913.5351028442385","1832.0057907104488","Amusement and Recreation:4 | Eating Places:8 | Grocery Stores:1 | Healthcare:1 | Hotels:2 | Retail:1 | Services:1"
"6d5e5d4f-f4eb-485e-a46d-bb8d37072df7","Alfamidi Abepura","Jl. Raya Abepura - Sentani No.08, Kota Baru, Kec. Abepura, Kota Jayapura, Papua 99351, Indonesia","Commercial Area","Large","Yes","high","130683.73800430296","69445.19778587366","61238.54339857469","Amusement and Recreation:3 | Civic and Social Organizations:19 | Eating Places:12 | Entertainment:1 | Fashion and Apparel:5 | Grocery Stores:1 | Healthcare:11 | Hotels:1 | Retail:26 | Salon/Spa:5 | Services:8 | Sports and Fitness Centers:1 | Transportation:3"
"18e2d08d-656b-4cf5-85f8-668addb0a15d","Alfamidi Inpres","QP8G+XGR, Jl. Inpres Raya, RT.001/RW.010, Larangan Utara, Kec. Larangan, Kota Tangerang, Banten 15154, Indonesia","Commercial Area","Large","Yes","high","38863.86304855347","19597.01822090149","19266.84570121765","Amusement and Recreation:3 | Auto and Gasoline Service Stations:1 | Automotive Dealers:4 | Civic and Social Organizations:6 | Eating Places:31 | Education:5 | Entertainment:1 | Fashion and Apparel:2 | Grocery Stores:1 | Healthcare:5 | Retail:11 | Salon/Spa:6 | Services:12 | Sports and Fitness Centers:1 | Transportation:2"
"efb33bf7-adde-4a19-a2e5-7cf85dfdc93a","Alfamart","Ruko Times Square Gading Serpong No, Medang, Bumi Serpong Damai, Tangerang Regency, Banten 15334, Indonesia","Mall","Large","Yes","high","9233.190947735246","4717.085103582052","4516.105999899999","Civic and Social Organizations:4 | Eating Places:4 | Fashion and Apparel:1 | Industrial and Commercial Zones:2 | Retail:5 | Salon/Spa:2 | Services:7 | Sports and Fitness Centers:2 | Transportation:1"
"8f4047b3-444a-4b8f-8994-9a9a27062c78","ALFAMIDI BOSTON","PJHC+8GV, Jl. Boston Village, Medang, Kec. Pagedangan, Kabupaten Tangerang, Banten 15334, Indonesia","Commercial Area","Large","Yes","high","6451.78540637993","3296.1108457061337","3155.6746747738207","Amusement and Recreation:2 | Eating Places:7 | Education:1 | Healthcare:1 | Retail:1 | Salon/Spa:2 | Services:4"
"19f937cc-fc69-4918-8480-64b903d4b14d","Alfamidi Panimbang","GQ5X+36W, Jalan Raya Labuan, Panimbangjaya, Panimbang, Pandeglang Regency, Banten 42281, Indonesia","Commercial Area","Large","Yes","high","21804.724945985017","11138.535058488576","10666.189885171916","Amusement and Recreation:4 | Automotive Dealers:2 | Civic and Social Organizations:5 | Eating Places:8 | Education:2 | Entertainment:1 | Grocery Stores:2 | Healthcare:1 | Hotels:3 | Retail:5 | Services:3 | Transportation:2"
"7add050a-bb76-4649-9cf9-99244799c72b","Alfamidi Kukun Raya MA71","VGFG+MF3, Sukamanah, Rajeg, Tangerang Regency, Banten 15540, Indonesia","Commercial Area","Large","Yes","high","18428.416608333588","9414.774356126783","9013.64252090454","Auto and Gasoline Service Stations:1 | Civic and Social Organizations:2 | Eating Places:4 | Fashion and Apparel:1 | Healthcare:2 | Hotels:1 | Retail:3 | Salon/Spa:2 | Services:6"
"id3216071003_0020","ALFAMIDI RAYA JATIWANGI","M3FP+743, Jl. Raya Jatiwangi, Cikedokan, Kec. Cikarang Bar., Kabupaten Bekasi, Jawa Barat 17530, Indonesia","Commercial Area","Large","Yes","high","12712.877033114431","6449.448474645615","6263.428666174412","Civic and Social Organizations:1 | Eating Places:2 | Education:1 | Healthcare:1 | Retail:2 | Services:1"
"id3201300011_0010","Alfamidi kabasiran (SH1B)","JHWH+8H9, Jl. Raya Dago, Kabasiran, Kec. Parung Panjang, Kabupaten Bogor, Jawa Barat 16360, Indonesia","Commercial Area","Large","Yes","high","13190.739356696606","6759.969268958666","6430.770285684674","Amusement and Recreation:1 | Eating Places:1 | Retail:1 | Services:5"
"id3172100001_0017","Alfamidi Kebon Kelapa","Jalan Kebon Kelapa No.5, RT.11/RW.11, Utan Kayu Sel., Kec. Matraman, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13120, Indonesia","Residential Area","Large","Yes","high","63322.36249160767","31735.80917739868","31586.553421020508","Amusement and Recreation:4 | Automotive Dealers:2 | Children's Activities:1 | Civic and Social Organizations:11 | Eating Places:23 | Education:5 | Entertainment:2 | Fashion and Apparel:1 | Grocery Stores:4 | Healthcare:4 | Hotels:3 | Industrial and Commercial Zones:2 | Retail:12 | Salon/Spa:6 | Services:12 | Sports and Fitness Centers:1 | Transportation:1"
"id3173060003_0003","Alfamidi Sumur Batu Sc65","Jl. Sumur Batu Raya No.13 2, RT.11/RW.2, Sumur Batu, Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10640, Indonesia","Commercial Area","Large","Yes","high","77144.91153335571","38928.80256462097","38216.11035728455","Amusement and Recreation:3 | Auto and Gasoline Service Stations:1 | Automotive Dealers:1 | Children's Activities:1 | Civic and Social Organizations:2 | Eating Places:43 | Education:10 | Entertainment:1 | Fashion and Apparel:2 | Grocery Stores:3 | Healthcare:8 | Hotels:1 | Industrial and Commercial Zones:1 | Retail:11 | Salon/Spa:8 | Services:12"
"id3171060001_0012","Alfamidi Radio Dalam","Jl. Radio Dalam Raya No.14 2, RT.2/RW.14, Gandaria Utara, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12140, Indonesia","Commercial Area","Large","Yes","high","45554.7268409729","22822.035031318665","22732.693061828613","Amusement and Recreation:5 | Auto and Gasoline Service Stations:12 | Automotive Dealers:19 | Civic and Social Organizations:14 | Eating Places:46 | Education:14 | Entertainment:2 | Fashion and Apparel:6 | Grocery Stores:3 | Healthcare:5 | Hotels:4 | Industrial and Commercial Zones:2 | Retail:23 | Salon/Spa:4 | Services:32 | Sports and Fitness Centers:1 | Transportation:3"
"f34f7478-466b-4af3-a526-a7fc05b1d24a","ATM BCA Alfamart Legenda Wisata","Ruko Newton, Jl. Ruko Newton Square No.3, Nagrak, Kec. Gn. Putri, Kabupaten Bogor, Jawa Barat 16967, Indonesia","Mall","Large","Yes","high","12021.177856445312","6160.594244003296","5860.583786010742","Auto and Gasoline Service Stations:3 | Automotive Dealers:4 | Civic and Social Organizations:6 | Eating Places:15 | Education:4 | Grocery Stores:2 | Healthcare:3 | Industrial and Commercial Zones:1 | Retail:2 | Salon/Spa:4 | Services:7 | Transportation:3"
"250752cd-8110-4dc5-9df0-24d75154c6f6","ALFAMART SENTRA NIAGA SQUARE","Ruko, Sentra Niaga Square, Simpangan, Cikarang, Kabupaten Bekasi, Jawa Barat 17530, Indonesia","Mall","Large","Yes","high","15284.821231365204","7754.237407445908","7530.583912372589","Amusement and Recreation:3 | Auto and Gasoline Service Stations:1 | Civic and Social Organizations:3 | Eating Places:19 | Education:5 | Fashion and Apparel:3 | Grocery Stores:3 | Healthcare:7 | Retail:7 | Salon/Spa:5 | Services:7 | Transportation:2"
